"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units","X5.Inf_Units_Stucture"
"Cumberland","MD-WV",19,13,0,0,6,1
"Dallas-Fort Worth-Arlington","TX",4382,3019,32,4,1327,107
"Dalton","GA",71,50,0,3,18,2
"Danville","IL",1,1,0,0,0,0
"Danville","VA",22,19,0,3,0,0
"Davenport-Moline-Rock Island","IA-IL",44,44,0,0,0,NA
"Decatur","AL",38,38,0,0,0,0
"Decatur","IL",0,0,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",526,429,4,0,93,7
"Denver-Aurora","CO",1611,1175,2,34,400,23
"Des Moines","IA",232,214,0,0,18,1
"Detroit-Warren-Livonia","MI",1061,819,12,56,174,15
"Dothan","AL",32,32,0,0,0,0
"Dover","DE",160,160,0,0,0,0
"Dubuque","IA",17,15,2,0,0,0
"Duluth","MN-WI",27,25,2,0,0,0
"Durham","NC",324,322,2,0,0,0
"Eau Claire","WI",12,5,2,0,5,1
"El Centro","CA",144,57,0,3,84,8
"El Paso","TX",371,367,4,0,0,0
"Elizabethtown","KY",67,67,0,0,0,0
"Elkhart-Goshen","IN",69,59,0,4,6,1
"Elmira","NY",1,1,0,0,0,0
"Erie","PA",4,4,0,0,0,0
"Eugene-Springfield","OR",141,129,4,3,5,1
"Evansville","IN-KY",97,75,2,20,0,0
"Fairbanks","AK",6,6,0,0,0,0
"Fargo","ND-MN",13,2,0,0,11,1
"Farmington","NM",24,24,0,0,0,0
"Fayetteville","NC",538,234,0,0,304,14
"Fayetteville-Springdale-Rogers","AR-MO",454,304,26,10,114,8
"Flagstaff","AZ",38,33,2,3,0,0
"Flint","MI",67,67,0,0,0,0
"Florence","SC",20,20,0,0,0,0
"Florence-Muscle Shoals","AL",17,12,0,0,5,1
"Fond du Lac","WI",13,7,0,0,6,1
"Fort Collins-Loveland","CO",189,155,2,18,14,2
"Fort Smith","AR-OK",58,48,10,0,0,0
"Fort Walton Beach-Crestview-Destin","FL",99,84,0,3,12,2
"Fort Wayne","IN",99,97,2,0,0,0
"Fresno","CA",330,298,0,0,32,4
"Gadsden","AL",38,38,0,0,0,0
"Gainesville","FL",175,119,0,0,56,5
"Gainesville","GA",153,112,4,4,33,5
"Glens Falls","NY",52,41,0,11,0,0
"Goldsboro","NC",33,33,0,0,0,0
"Grand Forks","ND-MN",0,0,0,0,0,0
"Grand Junction","CO",85,85,0,0,0,0
"Grand Rapids-Wyoming","MI",239,221,2,0,16,1
"Great Falls","MT",3,3,0,0,0,0
"Greeley","CO",274,269,0,0,5,1
"Green Bay","WI",75,66,2,0,7,1
"Greensboro-High Point","NC",342,318,12,0,12,1
"Greenville","NC",181,113,2,0,66,6
"Greenville","SC",397,384,8,0,5,1
"Gulfport-Biloxi","MS",148,126,18,4,0,0
"Hagerstown-Martinsburg","MD-WV",217,202,12,3,0,0
"Hanford-Corcoran","CA",66,63,0,3,0,0
"Harrisburg-Carlisle","PA",89,89,0,0,0,0
"Harrisonburg","VA",79,73,6,0,0,0
"Hartford-West Hartford-East Hartford","CT",172,122,10,0,40,4
"Hattiesburg","MS",7,7,0,0,0,0
"Hickory-Lenoir-Morganton","NC",108,102,6,0,0,0
"Hinesville-Fort Stewart","GA",24,24,0,0,0,0
"Holland-Grand Haven","MI",93,71,2,13,7,1
"Honolulu","HI",169,157,12,0,0,0
"Hot Springs","AR",11,11,0,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",62,62,0,0,0,0
"Houston-Baytown-Sugar Land","TX",6070,3539,18,12,2501,140
"Huntington-Ashland","WV-KY-OH",6,6,0,0,0,0
"Huntsville","AL",258,258,0,0,0,0
"Idaho Falls","ID",52,52,0,0,0,0
"Indianapolis","IN",963,662,14,4,283,3
"Iowa City","IA",26,26,0,0,0,0
"Ithaca","NY",9,3,0,0,6,1
"Jackson","MI",10,10,0,0,0,0
"Jackson","MS",267,264,0,3,0,0
"Jackson","TN",48,48,0,0,0,0
"Jacksonville","FL",1560,1287,2,0,271,15
"Jacksonville","NC",92,92,0,0,0,0
"Janesville","WI",130,30,4,0,96,8
"Jefferson City","MO",17,17,0,0,0,0
"Johnson City","TN",73,73,0,0,0,0
"Johnstown","PA",0,0,0,0,0,0
"Jonesboro","AR",51,40,0,3,8,1
"Joplin","MO",23,23,0,0,0,0
"Kalamazoo-Portage","MI",53,49,4,0,0,0
"Kankakee-Bradley","IL",45,15,0,0,30,5
"Kansas City","MO-KS",774,687,42,16,29,1
"Kennewick-Richland-Pasco","WA",150,127,0,0,23,2
"Killeen-Temple-Fort Hood","TX",278,236,26,16,0,0
"Kingsport-Bristol-Bristol","TN-VA",73,73,0,0,0,0
"Kingston","NY",21,21,0,0,0,0
"Knoxville","TN",302,295,4,3,0,0
"Kokomo","IN",6,6,0,0,0,0
"La Crosse","WI-MN",13,13,0,0,0,0
"Lafayette","IN",45,45,0,0,0,0
"Lafayette","LA",309,309,0,0,0,0
"Lake Charles","LA",68,64,4,0,0,0
"Lakeland","FL",742,472,6,0,264,17
"Lancaster","PA",116,94,0,3,19,2
"Lansing-East Lansing","MI",191,82,2,0,107,2
"Laredo","TX",140,134,0,0,6,1
"Las Cruces","NM",146,111,0,0,35,3
"Las Vegas-Paradise","NV",1669,1387,0,40,242,7
"Lawrence","KS",13,13,0,0,0,0
"Lawton","OK",11,11,0,0,0,0
"Lebanon","PA",23,23,0,0,0,0
"Lewiston","ID-WA",8,4,4,0,0,0
"Lewiston-Auburn","ME",28,23,0,0,5,1
"Lexington-Fayette","KY",284,276,8,0,0,0
"Lima","OH",3,3,0,0,0,0
"Lincoln","NE",121,100,4,0,17,1
"Little Rock-North Little Rock","AR",664,283,4,4,373,21
"Logan","UT-ID",29,26,0,3,0,0
"Longview","TX",18,18,0,0,0,0
"Longview","WA",22,22,0,0,0,0
"Los Angeles-Long Beach-Santa Ana","CA",2129,951,62,41,1075,47
"Louisville","KY-IN",512,502,2,8,0,0
"Lubbock","TX",133,105,28,0,0,0
"Lynchburg","VA",123,119,4,0,0,0
"Macon","GA",76,76,0,0,0,0
"Madera","CA",75,66,6,3,0,0
"Madison","WI",349,141,2,6,200,8
"Manchester-Nashua","NH",160,87,0,0,73,2
"Mansfield","OH",6,2,4,0,0,0
"McAllen-Edinburg-Pharr","TX",637,459,2,78,98,7
"Medford","OR",168,152,0,8,8,1
"Memphis","TN-MS-AR",720,720,0,0,0,0
"Merced","CA",246,216,0,0,30,6
"Miami-Fort Lauderdale-Miami Beach","FL",3424,1675,46,43,1660,47
"Michigan City-La Porte","IN",12,12,0,0,0,0
"Midland","TX",24,24,0,0,0,0
"Milwaukee-Waukesha-West Allis","WI",467,243,4,16,204,8
"Minneapolis-St. Paul-Bloomington","MN-WI",987,731,8,18,230,13
"Missoula","MT",113,81,0,0,32,2
"Mobile","AL",136,136,0,0,0,0
"Modesto","CA",318,288,0,0,30,3
"Monroe","LA",42,32,0,0,10,2
"Monroe","MI",41,41,0,0,0,0
"Montgomery","AL",162,162,0,0,0,0
"Morgantown","WV",2,2,0,0,0,0
"Morristown","TN",63,61,2,0,0,0
"Mount Vernon-Anacortes","WA",79,63,4,0,12,1
"Muncie","IN",5,5,0,0,0,0
"Muskegon-Norton Shores","MI",26,26,0,0,0,0
"Myrtle Beach-Conway-North Myrtle Beach","SC",1094,399,2,36,657,43
"Napa","CA",108,57,0,0,51,3
"Naples-Marco Island","FL",534,385,8,32,109,8
"Nashville-Davidson--Murfreesboro","TN",1277,946,30,10,291,11
"New Haven-Milford","CT",78,69,4,0,5,1
"New Orleans-Metairie-Kenner","LA",707,693,14,0,0,0
"New York-Northern New Jersey-Long Island","NY-NJ-PA",4027,1278,374,396,1979,76
"Niles-Benton Harbor","MI",20,20,0,0,0,0
"Norwich-New London","CT",175,30,0,12,133,11
"Ocala","FL",497,481,12,4,0,0
"Ocean City","NJ",295,81,62,20,132,8
"Odessa","TX",13,13,0,0,0,0
"Ogden-Clearfield","UT",304,277,2,20,5,1
"Oklahoma City","OK",743,510,2,0,231,8
"Olympia","WA",152,150,2,0,0,0
"Omaha-Council Bluffs","NE-IA",259,242,6,3,8,1
"Orlando","FL",3112,2060,8,32,1012,55
"Oshkosh-Neenah","WI",32,21,2,4,5,1
"Owensboro","KY",17,13,4,0,0,0
"Oxnard-Thousand Oaks-Ventura","CA",218,164,2,0,52,6
"Palm Bay-Melbourne-Titusville","FL",500,445,0,0,55,8
"Panama City-Lynn Haven","FL",426,112,2,30,282,3
"Parkersburg-Marietta","WV-OH",6,6,0,0,0,0
"Pascagoula","MS",98,98,0,0,0,0
"Pensacola-Ferry Pass-Brent","FL",314,299,2,0,13,1
"Peoria","IL",117,27,6,0,84,11
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",1176,954,12,13,197,18
"Phoenix-Mesa-Scottsdale","AZ",4313,3726,16,66,505,31
"Pine Bluff","AR",11,5,0,0,6,1
"Pittsburgh","PA",293,232,2,24,35,5
"Pittsfield","MA",5,5,0,0,0,0
"Pocatello","ID",48,48,0,0,0,0
"Port St. Lucie-Fort Pierce","FL",738,689,4,6,39,2
"Portland-South Portland-Biddeford","ME",186,176,4,6,0,0
"Portland-Vancouver-Beaverton","OR-WA",1141,811,28,123,179,NA
"Prescott","AZ",255,251,4,0,0,0
"Providence-New Bedford-Fall River","RI-MA",257,172,20,4,61,3
"Provo-Orem","UT",336,318,6,0,12,1
"Pueblo","CO",89,85,4,0,0,0
"Punta Gorda","FL",290,222,4,4,60,5
"Racine","WI",51,51,0,0,0,0
"Raleigh-Cary","NC",1014,983,26,0,5,1
"Rapid City","SD",91,63,4,18,6,1
"Reading","PA",49,49,0,0,0,0
"Redding","CA",195,122,0,0,73,1
"Reno-Sparks","NV",146,143,0,3,0,0
"Richmond","VA",830,619,0,64,147,8
"Riverside-San Bernardino-Ontario","CA",3022,2402,0,12,608,28
"Roanoke","VA",70,70,0,0,0,0
"Rochester","MN",74,65,0,0,9,1
"Rochester","NY",98,86,8,4,0,0
"Rockford","IL",113,113,0,0,0,0
"Rocky Mount","NC",52,48,4,0,0,0
"Rome","GA",41,35,6,0,0,0
"Sacramento--Arden-Arcade--Roseville","CA",1343,1228,8,0,107,13
"Saginaw-Saginaw Township North","MI",24,24,0,0,0,0
"Salem","OR",147,139,4,4,0,0
"Salinas","CA",18,18,0,0,0,0
"Salisbury","MD",54,54,0,0,0,0
"Salt Lake City","UT",957,495,6,3,453,12
"San Angelo","TX",25,25,0,0,0,0
"San Antonio","TX",1320,975,14,40,291,14
"San Diego-Carlsbad-San Marcos","CA",2211,604,16,46,1545,48
"San Francisco-Oakland-Fremont","CA",581,401,4,19,157,13
"San Jose-Sunnyvale-Santa Clara","CA",345,121,4,13,207,8
"San Luis Obispo-Paso Robles","CA",111,77,4,0,30,6
"Sandusky","OH",3,3,0,0,0,0
"Santa Barbara-Santa Maria-Goleta","CA",85,53,0,0,32,3
"Santa Cruz-Watsonville","CA",82,30,0,0,52,5
"Santa Fe","NM",41,41,0,0,0,0
"Santa Rosa-Petaluma","CA",66,62,4,0,0,0
"Sarasota-Bradenton-Venice","FL",1183,793,0,3,387,18
"Savannah","GA",230,222,2,0,6,1
"Scranton--Wilkes-Barre","PA",17,17,0,0,0,0
"Seattle-Tacoma-Bellevue","WA",1516,1265,22,56,173,13
"Sheboygan","WI",8,8,0,0,0,0
"Sherman-Denison","TX",15,15,0,0,0,0
"Shreveport-Bossier City","LA",98,98,0,0,0,0
"Sioux City","IA-NE-SD",13,13,0,0,0,0
"Sioux Falls","SD",46,42,0,4,0,0
"South Bend-Mishawaka","IN-MI",68,54,0,4,10,2
"Spartanburg","SC",149,149,0,0,0,0
"Spokane","WA",135,130,0,0,5,1
"Springfield","IL",27,17,2,0,8,1
"Springfield","MA",45,38,2,0,5,1
"Springfield","MO",179,177,2,0,0,0
"Springfield","OH",5,5,0,0,0,0
"St. Cloud","MN",45,37,0,0,8,1
"St. George","UT",289,289,0,0,0,0
"St. Joseph","MO-KS",9,9,0,0,0,0
"St. Louis","MO-IL",841,771,14,21,35,4
"State College","PA",20,20,0,0,0,0
"Stockton","CA",550,542,2,0,6,1
"Sumter","SC",57,41,4,0,12,1
"Syracuse","NY",58,38,12,8,0,0
"Tallahassee","FL",139,107,18,8,6,1
"Tampa-St. Petersburg-Clearwater","FL",2445,2035,66,103,241,NA
"Texarkana","TX-TexarkanaAR",33,14,2,0,17,1
"Toledo","OH",174,96,0,4,74,2
"Topeka","KS",38,38,0,0,0,0
"Trenton-Ewing","NJ",49,41,0,3,5,1
"Tucson","AZ",713,705,0,8,0,0
"Tulsa","OK",297,285,12,0,0,0
"Tuscaloosa","AL",123,96,0,0,27,2
"Tyler","TX",45,32,0,3,10,2
"Utica-Rome","NY",3,3,0,0,0,0
"Valdosta","GA",96,73,0,0,23,2
"Vallejo-Fairfield","CA",280,178,4,11,87,11
"Vero Beach","FL",221,176,0,3,42,3
"Victoria","TX",6,6,0,0,0,0
"Vineland-Millville-Bridgeton","NJ",19,19,0,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",603,539,6,0,58,5
"Visalia-Porterville","CA",200,196,0,4,0,0
"Waco","TX",78,78,0,0,0,0
"Warner Robins","GA",100,100,0,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",2097,1713,0,4,380,19
"Waterloo-Cedar Falls","IA",8,8,0,0,0,0
"Wausau","WI",32,30,2,0,0,0
"Weirton-Steubenville","WV-OH",0,0,0,0,0,0
"Wenatchee","WA",33,33,0,0,0,0
"Wheeling","WV-OH",0,0,0,0,0,0
"Wichita Falls","TX",33,21,0,12,0,0
"Wichita","KS",139,137,2,0,0,0
"Williamsport","PA",1,1,0,0,0,0
"Wilmington","NC",565,515,14,0,36,6
"Winchester","VA-WV",82,82,0,0,0,0
"Winston-Salem","NC",290,290,0,0,0,0
"Worcester","MA",221,200,6,3,12,2
"Yakima","WA",34,30,4,0,0,0
"York-Hanover","PA",132,132,0,0,0,0
"Youngstown-Warren-Boardman","OH-PA",50,48,2,0,0,0
"Yuba City-Marysville","CA",376,365,0,0,11,1
"Yuma","AZ",148,146,2,0,0,0
"Abilene","TX",21,21,0,0,0,0
"Akron","OH",134,116,4,0,14,1
"Albany","GA",72,48,2,0,22,3
"Albany-Schenectady-Troy","NY",76,66,0,0,10,1
"Albuquerque","NM",543,527,0,3,13,1
"Alexandria","LA",34,34,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",271,256,0,0,15,2
"Altoona","PA",1,1,0,0,0,0
"Amarillo","TX",63,63,0,0,0,0
"Ames","IA",167,19,0,0,148,6
"Anchorage","AK",65,33,28,4,0,0
"Anderson","IN",17,17,0,0,0,0
"Anderson","SC",114,110,4,0,0,0
"Ann Arbor","MI",86,74,0,0,12,1
"Anniston-Oxford","AL",7,7,0,0,0,0
"Appleton","WI",73,67,6,0,0,0
"Asheville","NC",284,239,8,3,34,4
"Athens-Clarke County","GA",147,101,0,0,46,1
"Atlanta-Sandy Springs-Marietta","GA",5382,4138,10,21,1213,31
"Atlantic City","NJ",129,129,0,0,0,0
"Auburn-Opelika","AL",175,106,0,0,69,6
"Augusta-Richmond County","GA-SC",254,254,0,0,0,0
"Austin-Round Rock","TX",1329,1240,56,4,29,1
"Bakersfield","CA",653,454,16,3,180,26
"Baltimore-Towson","MD",814,561,12,15,226,8
"Bangor","ME",51,51,0,0,0,0
"Barnstable Town","MA",69,65,0,4,0,0
"Baton Rouge","LA",343,341,2,0,0,0
"Battle Creek","MI",95,19,0,0,76,4
"Bay City","MI",7,7,0,0,0,0
"Beaumont-Port Arthur","TX",21,21,0,0,0,0
"Bellingham","WA",106,98,0,8,0,0
"Bend","OR",335,281,26,28,0,0
"Billings","MT",33,33,0,0,0,0
"Binghamton","NY",0,0,0,0,0,0
"Birmingham-Hoover","AL",532,532,0,0,0,0
"Bismarck","ND",23,23,0,0,0,0
"Bloomington","IN",60,37,10,0,13,2
"Bloomington-Normal","IL",74,42,0,0,32,2
"Boise City-Nampa","ID",782,714,12,56,0,0
"Boston-Cambridge-Quincy","MA-NH",818,421,38,16,343,17
"Boulder","CO",77,72,0,0,5,1
"Bowling Green","KY",61,61,0,0,0,0
"Bremerton-Silverdale","WA",88,86,2,0,0,0
"Bridgeport-Stamford-Norwalk","CT",99,89,4,0,6,1
"Brownsville-Harlingen","TX",278,252,12,4,10,1
"Brunswick","GA",63,63,0,0,0,0
"Buffalo-Niagara Falls","NY",110,58,2,0,50,1
"Burlington","NC",75,75,0,0,0,0
"Burlington-South Burlington","VT",25,19,6,0,0,0
"Canton-Massillon","OH",71,68,0,3,0,0
"Cape Coral-Fort Myers","FL",2487,1739,16,44,688,63
"Carson City","NV",10,10,0,0,0,0
"Casper","WY",13,13,0,0,0,0
"Cedar Rapids","IA",83,39,2,18,24,4
"Champaign-Urbana","IL",79,49,0,0,30,1
"Charleston","WV",20,20,0,0,0,0
"Charleston-North Charleston","SC",665,521,10,21,113,8
"Charlotte-Gastonia-Concord","NC-SC",1448,1409,6,4,29,5
"Charlottesville","VA",122,87,2,3,30,2
"Chattanooga","TN-GA",243,232,4,0,7,1
"Cheyenne","WY",48,35,0,8,5,1
"Chicago-Naperville-Joliet","IL-IN-WI",2990,2036,34,200,720,NA
"Cincinnati-Middletown","OH-KY-IN",854,734,8,13,99,12
"Clarksville","TN-KY",138,132,0,6,0,0
"Cleveland","TN",42,42,0,0,0,0
"Cleveland-Elyria-Mentor","OH",391,366,4,16,5,1
"Coeur d""Alene","ID",267,161,2,3,101,7
"College Station-Bryan","TX",114,69,6,0,39,4
"Colorado Springs","CO",617,553,0,0,64,4
"Columbia","MO",116,80,12,0,24,2
"Columbia","SC",608,541,0,3,64,4
"Columbus","GA-AL",145,145,0,0,0,0
"Columbus","IN",17,17,0,0,0,0
"Columbus","OH",600,539,4,13,44,5
"Corpus Christi","TX",154,127,2,0,25,3
"Corvallis","OR",105,18,0,0,87,1
"Cumberland","MD-WV",9,9,0,0,0,0
"Dallas-Fort Worth-Arlington","TX",4647,3525,24,11,1087,39
"Dalton","GA",70,50,0,4,16,3
"Danville","IL",0,0,0,0,0,0
"Danville","VA",24,19,0,0,5,1
"Davenport-Moline-Rock Island","IA-IL",37,37,0,0,0,NA
"Decatur","AL",32,32,0,0,0,0
"Decatur","IL",3,3,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",447,388,2,0,57,5
"Denver-Aurora","CO",1287,1173,6,0,108,11
"Des Moines","IA",265,263,2,0,0,0
"Detroit-Warren-Livonia","MI",1469,1317,8,11,133,15
"Dothan","AL",45,45,0,0,0,0
"Dover","DE",139,135,0,4,0,0
"Dubuque","IA",17,15,2,0,0,0
"Duluth","MN-WI",27,27,0,0,0,0
"Durham","NC",364,309,4,3,48,6
"Eau Claire","WI",29,24,0,0,5,1
"El Centro","CA",61,50,0,3,8,1
"El Paso","TX",558,340,0,3,215,43
"Elizabethtown","KY",94,94,0,0,0,0
"Elkhart-Goshen","IN",54,54,0,0,0,0
"Elmira","NY",0,0,0,0,0,0
"Erie","PA",15,9,0,0,6,1
"Eugene-Springfield","OR",173,95,10,63,5,1
"Evansville","IN-KY",112,107,0,0,5,1
"Fairbanks","AK",1,1,0,0,0,0
"Fargo","ND-MN",267,15,0,0,252,6
"Farmington","NM",22,22,0,0,0,0
"Fayetteville","NC",298,242,0,0,56,7
"Fayetteville-Springdale-Rogers","AR-MO",763,274,18,12,459,28
"Flagstaff","AZ",47,47,0,0,0,0
"Flint","MI",185,185,0,0,0,0
"Florence","SC",20,20,0,0,0,0
"Florence-Muscle Shoals","AL",49,20,8,0,21,3
"Fond du Lac","WI",7,5,2,0,0,0
"Fort Collins-Loveland","CO",202,184,4,0,14,2
"Fort Smith","AR-OK",79,49,30,0,0,0
"Fort Walton Beach-Crestview-Destin","FL",103,100,0,3,0,0
"Fort Wayne","IN",164,128,0,0,36,1
"Fresno","CA",446,256,6,3,181,23
"Gadsden","AL",16,16,0,0,0,0
"Gainesville","FL",182,98,0,44,40,2
"Gainesville","GA",116,112,4,0,0,0
"Glens Falls","NY",33,26,2,0,5,1
"Goldsboro","NC",36,36,0,0,0,0
"Grand Forks","ND-MN",0,0,0,0,0,0
"Grand Junction","CO",105,105,0,0,0,0
"Grand Rapids-Wyoming","MI",509,497,4,3,5,1
"Great Falls","MT",9,7,2,0,0,0
"Greeley","CO",284,281,0,3,0,0
"Green Bay","WI",128,95,8,0,25,2
"Greensboro-High Point","NC",476,444,4,0,28,4
"Greenville","NC",152,90,2,0,60,5
"Greenville","SC",394,385,4,0,5,1
"Gulfport-Biloxi","MS",150,148,2,0,0,0
"Hagerstown-Martinsburg","MD-WV",317,233,0,7,77,7
"Hanford-Corcoran","CA",34,34,0,0,0,0
"Harrisburg-Carlisle","PA",90,83,2,0,5,1
"Harrisonburg","VA",100,98,2,0,0,0
"Hartford-West Hartford-East Hartford","CT",194,155,2,0,37,4
"Hattiesburg","MS",9,9,0,0,0,0
"Hickory-Lenoir-Morganton","NC",109,109,0,0,0,0
"Hinesville-Fort Stewart","GA",15,13,2,0,0,0
"Holland-Grand Haven","MI",151,135,4,7,5,1
"Honolulu","HI",276,232,6,3,35,1
"Hot Springs","AR",12,12,0,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",59,59,0,0,0,0
"Houston-Baytown-Sugar Land","TX",4340,3891,48,6,395,34
"Huntington-Ashland","WV-KY-OH",5,5,0,0,0,0
"Huntsville","AL",214,202,0,12,0,0
"Idaho Falls","ID",80,68,0,12,0,0
"Indianapolis","IN",802,721,12,35,34,5
"Iowa City","IA",124,70,26,4,24,2
"Ithaca","NY",9,4,0,0,5,1
"Jackson","MI",20,15,0,0,5,1
"Jackson","MS",209,181,0,0,28,3
"Jackson","TN",30,30,0,0,0,0
"Jacksonville","FL",1556,1189,2,0,365,14
"Jacksonville","NC",154,114,0,0,40,5
"Janesville","WI",102,36,2,0,64,2
"Jefferson City","MO",27,27,0,0,0,0
"Johnson City","TN",66,66,0,0,0,0
"Johnstown","PA",0,0,0,0,0,0
"Jonesboro","AR",41,38,0,3,0,0
"Joplin","MO",21,21,0,0,0,0
"Kalamazoo-Portage","MI",119,104,0,15,0,0
"Kankakee-Bradley","IL",8,8,0,0,0,0
"Kansas City","MO-KS",1138,856,54,72,156,15
"Kennewick-Richland-Pasco","WA",168,144,0,0,24,2
"Killeen-Temple-Fort Hood","TX",233,161,40,32,0,0
"Kingsport-Bristol-Bristol","TN-VA",67,65,2,0,0,0
"Kingston","NY",55,23,0,3,29,3
"Knoxville","TN",310,302,8,0,0,0
"Kokomo","IN",22,22,0,0,0,0
"La Crosse","WI-MN",12,12,0,0,0,0
"Lafayette","IN",43,43,0,0,0,0
"Lafayette","LA",103,101,2,0,0,0
"Lake Charles","LA",62,58,4,0,0,0
"Lakeland","FL",740,678,4,0,58,4
"Lancaster","PA",97,84,0,0,13,2
"Lansing-East Lansing","MI",168,153,0,0,15,1
"Laredo","TX",146,136,2,3,5,1
"Las Cruces","NM",140,103,0,0,37,3
"Las Vegas-Paradise","NV",2998,2517,20,214,247,3
"Lawrence","KS",33,21,12,0,0,0
"Lawton","OK",11,11,0,0,0,0
"Lebanon","PA",51,51,0,0,0,0
"Lewiston","ID-WA",9,7,2,0,0,0
"Lewiston-Auburn","ME",34,22,4,0,8,1
"Lexington-Fayette","KY",379,350,4,0,25,4
"Lima","OH",1,1,0,0,0,0
"Lincoln","NE",85,81,4,0,0,0
"Little Rock-North Little Rock","AR",272,270,2,0,0,0
"Logan","UT-ID",22,22,0,0,0,0
"Longview","TX",17,17,0,0,0,0
"Longview","WA",22,22,0,0,0,0
"Los Angeles-Long Beach-Santa Ana","CA",2392,1002,40,83,1267,40
"Louisville","KY-IN",722,635,0,10,77,6
